iter	Passed	Remaining
0	161	161357
1	163	81472
2	164	54728
3	166	41349
4	168	33528
5	170	28188
6	171	24335
7	173	21474
8	174	19231
9	176	17436
10	177	15968
11	179	14742
12	181	13776
13	183	12894
14	184	12117
15	186	11439
16	187	10844
17	188	10309
18	190	9841
19	192	9410
20	193	9031
21	195	8695
22	197	8376
23	198	8078
24	200	7820
25	202	7574
26	203	7337
27	205	7120
28	206	6915
29	209	6759
30	210	6588
31	212	6424
32	213	6269
33	215	6122
34	217	5984
35	218	5853
36	220	5729
37	222	5621
38	223	5517
39	225	5412
40	226	5309
41	228	5215
42	230	5125
43	231	5036
44	233	4949
45	234	4866
46	236	4795
47	238	4731
48	240	4664
49	241	4595
50	243	4529
51	244	4465
52	246	4402
53	247	4342
54	250	4296
55	252	4253
56	253	4200
57	255	4149
58	257	4099
59	258	4049
60	260	4003
61	261	3957
62	263	3911
63	265	3877
64	267	3840
65	268	3799
66	269	3758
67	271	3720
68	272	3681
69	274	3645
70	276	3615
71	277	3582
72	279	3552
73	281	3525
74	283	3492
75	284	3460
76	286	3431
77	287	3402
78	289	3373
79	290	3343
80	292	3315
81	294	3298
82	295	3269
83	298	3250
84	299	3227
85	301	3203
86	302	3179
87	304	3157
88	306	3137
89	308	3119
90	310	3101
91	311	3078
92	313	3056
93	314	3035
94	316	3015
95	318	2995
96	319	2975
97	321	2958
98	323	2944
99	325	2928
100	327	2911
101	328	2893
102	330	2876
103	331	2859
104	333	2842
105	335	2826
106	337	2812
107	339	2799
108	340	2784
109	342	2768
110	343	2752
111	345	2736
112	346	2720
113	348	2707
114	350	2694
115	352	2682
116	353	2667
117	355	2654
118	356	2639
119	357	2625
120	359	2612
121	360	2597
122	362	2586
123	364	2576
124	366	2568
125	368	2559
126	370	2545
127	372	2534
128	373	2523
129	375	2513
130	377	2502
131	379	2492
132	381	2488
133	383	2479
134	385	2469
135	386	2458
136	388	2447
137	390	2437
138	391	2427
139	393	2416
140	397	2421
141	399	2411
142	401	2404
143	403	2398
144	405	2391
145	407	2384
146	411	2385
147	413	2379
148	416	2379
149	418	2372
150	420	2366
151	423	2360
152	426	2360
153	428	2356
154	430	2349
155	433	2343
156	435	2336
157	437	2328
158	439	2323
159	441	2320
160	443	2310
161	445	2304
162	447	2297
163	449	2292
164	451	2286
165	454	2282
166	456	2279
167	458	2272
168	460	2265
169	462	2258
170	465	2254
171	467	2249
172	469	2245
173	472	2241
174	474	2235
175	476	2229
176	478	2225
177	480	2220
178	483	2219
179	486	2214
180	488	2208
181	490	2203
182	492	2197
183	494	2191
184	497	2189
185	499	2186
186	501	2180
187	503	2175
188	505	2170
189	507	2165
190	509	2159
191	512	2157
192	514	2153
193	516	2147
194	518	2141
195	520	2136
196	522	2130
197	526	2132
198	529	2130
199	531	2125
200	533	2120
201	535	2115
202	537	2111
203	539	2106
204	542	2102
205	545	2100
206	547	2095
207	549	2091
208	551	2088
209	554	2084
210	557	2083
211	559	2079
212	562	2078
213	564	2073
214	566	2069
215	568	2064
216	571	2061
217	575	2064
218	577	2059
219	579	2054
220	581	2050
221	583	2045
222	586	2043
223	589	2041
224	591	2036
225	593	2032
226	595	2028
227	597	2024
228	600	2020
229	602	2016
230	604	2013
231	607	2009
232	609	2005
233	611	2001
234	613	1997
235	615	1993
236	618	1992
237	621	1988
238	623	1983
239	624	1978
240	626	1973
241	628	1969
242	631	1966
243	634	1966
244	636	1961
245	638	1957
246	640	1952
247	642	1947
248	644	1945
249	647	1942
250	650	1940
251	652	1936
252	654	1933
253	657	1929
254	659	1926
255	662	1925
256	664	1922
257	666	1917
258	668	1913
259	670	1908
260	673	1906
261	676	1904
262	678	1900
263	680	1896
264	681	1891
265	683	1886
266	685	1881
267	687	1877
268	689	1874
269	691	1870
270	694	1867
271	696	1863
272	698	1859
273	700	1854
274	702	1851
275	704	1849
276	706	1845
277	708	1840
278	710	1836
279	712	1832
280	714	1828
281	716	1824
282	718	1821
283	720	1816
284	722	1812
285	724	1808
286	726	1804
287	728	1801
288	730	1797
289	734	1797
290	736	1793
291	737	1788
292	739	1784
293	741	1781
294	743	1777
295	746	1775
296	748	1771
297	750	1767
298	752	1763
299	754	1760
300	756	1757
301	760	1756
302	762	1753
303	764	1749
304	766	1746
305	768	1742
306	770	1739
307	772	1736
308	775	1733
309	777	1730
310	779	1726
311	780	1721
312	782	1718
313	784	1714
314	786	1710
315	788	1707
316	791	1704
317	793	1702
318	795	1697
319	796	1693
320	798	1689
321	800	1685
322	802	1681
323	804	1678
324	807	1677
325	810	1675
326	813	1673
327	815	1669
328	817	1667
329	819	1664
330	821	1660
331	823	1656
332	825	1654
333	828	1651
334	830	1648
335	833	1646
336	835	1644
